BAC,recid,treat,run,runint
0,.17024569,0,-.079999998,0
.001,.15224913,0,-.079000004,0
.0020000001,.13868614,0,-.078000002,0
.003,.073089704,0,-.077,0
.0040000002,.16509435,0,-.075999998,0
.0049999999,.12371134,0,-.075000003,0
.0060000001,.14685315,0,-.074000001,0
.0070000002,.13725491,0,-.072999999,0
.0080000004,.14925373,0,-.071999997,0
.0089999996,.125,0,-.071000002,0
.0099999998,.11564626,0,-.07,0
.011,.12676056,0,-.068999998,0
.012,.13333334,0,-.067999996,0
.013,.1192053,0,-.067000002,0
.014,.17730497,0,-.066,0
.015,.090909094,0,-.064999998,0
.016000001,.099337749,0,-.063999996,0
.017000001,.093333334,0,-.063000001,0
.017999999,.10489511,0,-.061999999,0
.018999999,.11688311,0,-.061000001,0
.02,.16216215,0,-.059999999,0
.021,.1160221,0,-.059,0
.022,.125,0,-.057999998,0
.023,.14772727,0,-.057,0
.024,.12568305,0,-.055999998,0
.025,.12612613,0,-.055,0
.026000001,.11330049,0,-.053999998,0
.027000001,.09565217,0,-.052999999,0
.028000001,.17924528,0,-.051999997,0
.028999999,.11872146,0,-.050999999,0
.029999999,.12037037,0,-.050000001,0
.030999999,.079497911,0,-.048999999,0
.032000002,.11764706,0,-.047999997,0
.033,.11067194,0,-.046999998,0
.034000002,.096525095,0,-.045999996,0
.035,.087121211,0,-.044999998,0
.035999998,.12355212,0,-.044,0
.037,.14035088,0,-.042999998,0
.037999999,.16724738,0,-.041999999,0
.039000001,.14233577,0,-.040999997,0
.039999999,.15492958,0,-.039999999,0
.041000001,.1462585,0,-.038999997,0
.041999999,.0813253,0,-.037999999,0
.043000001,.12921348,0,-.036999997,0
.044,.13874346,0,-.035999998,0
.045000002,.10526316,0,-.034999996,0
.046,.13498622,0,-.033999998,0
.046999998,.11678832,0,-.033,0
.048,.13013698,0,-.031999998,0
.048999999,.11600928,0,-.031000001,0
.050000001,.11372549,0,-.029999999,0
.050999999,.12304688,0,-.029000001,0
.052000001,.13940521,0,-.027999999,0
.052999999,.125,0,-.027000001,0
.054000001,.14360771,0,-.025999999,0
.055,.10459588,0,-.025,0
.056000002,.11876833,0,-.023999998,0
.057,.12732475,0,-.023,0
.057999998,.12027972,0,-.022000002,0
.059,.11547912,0,-.021,0
.059999999,.12555556,0,-.020000001,0
.061000001,.11580086,0,-.018999999,0
.061999999,.13079299,0,-.018000001,0
.063000001,.12777779,0,-.016999999,0
.064000003,.12488849,0,-.015999997,0
.064999998,.11300448,0,-.015000002,0
.066,.13457076,0,-.014,0
.067000002,.13001606,0,-.012999998,0
.068000004,.11152142,0,-.011999996,0
.068999998,.13597122,0,-.011000002,0
.07,.11054638,0,-.0099999998,0
.071000002,.12276215,0,-.0089999977,0
.071999997,.12327947,0,-.0080000032,0
.072999999,.13470589,0,-.0070000011,0
.074000001,.11738149,0,-.0059999991,0
